genome_id,genome_id,source,organism,genus,species,strain,closest_placement_reference,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_001281285.1,GCF_001281285.1,ncbi,,,,,,8,0.3725252010040134,1490020,1.0,0.0,1.0,1.0
GCF_001281205.1,GCF_001281205.1,ncbi,,,,,,7,0.3765867473394031,1552941,0.0,0.0,0.0,0.0
GCF_001421115.1,GCF_001421115.1,ncbi,,,,,,8,0.37175550756788817,1525855,3.0,1.0,3.0,3.0
GCF_001281225.1,GCF_001281225.1,ncbi,,,,,,24,0.370517136089359,1554001,2.0,1.0,2.0,2.0
GCF_006493615.1,GCF_006493615.1,ncbi,,,,,,28,0.36420545450734576,1574441,1.0,1.0,1.0,1.0
GCF_014323645.1,GCF_014323645.1,ncbi,,,,,,28,0.364798846930101,1537461,0.0,0.0,0.0,0.0
GCF_000830375.1,GCF_000830375.1,ncbi,,,,,,21,0.36861283996161404,1551609,0.0,0.0,0.0,0.0
GCF_001421135.1,GCF_001421135.1,ncbi,,,,,,14,0.36979966626997673,1567135,1.0,1.0,1.0,1.0
GCF_009910775.1,GCF_009910775.1,ncbi,,,,,,42,0.3669857520256958,1578470,0.0,0.0,0.0,0.0
GCF_001949975.2,GCF_001949975.2,ncbi,,,,,,26,0.3671446313509081,1599909,2.0,2.0,2.0,2.0
GCF_001308215.1,GCF_001308215.1,ncbi,,,,,,16,0.374262378563968,1576859,0.0,0.0,0.0,0.0
GCF_005930975.1,GCF_005930975.1,ncbi,,,,,,43,0.35436227949394133,1542588,1.0,0.0,1.0,1.0
GCF_001308185.1,GCF_001308185.1,ncbi,,,,,,18,0.36540537104461623,1478744,1.0,0.0,1.0,1.0
GCF_000741865.1,GCF_000741865.1,ncbi,,,,,,44,0.3678423164358051,1581395,1.0,0.0,1.0,1.0
GCF_005930925.1,GCF_005930925.1,ncbi,,,,,,51,0.36595114272927887,1490423,1.0,0.0,1.0,1.0
GCF_005930915.1,GCF_005930915.1,ncbi,,,,,,45,0.3656959694377203,1484706,1.0,0.0,1.0,1.0
GCF_001308195.1,GCF_001308195.1,ncbi,,,,,,31,0.37112030865103623,1560079,1.0,0.0,1.0,1.0
GCF_001281215.1,GCF_001281215.1,ncbi,,,,,,47,0.37024000346575403,1569644,0.0,0.0,0.0,0.0
GCF_006493415.1,GCF_006493415.1,ncbi,,,,,,66,0.3669109769534245,1575592,1.0,1.0,1.0,1.0
GCF_005930935.1,GCF_005930935.1,ncbi,,,,,,53,0.36342401291325244,1499235,2.0,1.0,2.0,2.0
GCF_001281165.1,GCF_001281165.1,ncbi,,,,,,8,0.3457448528351067,1608264,1.0,0.0,1.0,1.0
GCF_001281265.1,GCF_001281265.1,ncbi,,,,,,16,0.3642228866697631,1515712,1.0,0.0,1.0,1.0
GCF_001433825.1,GCF_001433825.1,ncbi,,,,,,23,0.3641007281208695,1513897,1.0,0.0,1.0,1.0
GCF_006493595.1,GCF_006493595.1,ncbi,,,,,,20,0.3058919912018267,1479398,1.0,0.0,1.0,1.0
GCF_002993975.1,GCF_002993975.1,ncbi,,,,,,12,0.3074266861718825,1462173,1.0,0.0,1.0,1.0
GCF_006493195.1,GCF_006493195.1,ncbi,,,,,,9,0.305798765999951,1469692,0.0,0.0,0.0,0.0
GCF_006493225.1,GCF_006493225.1,ncbi,,,,,,15,0.3063493939878589,1438090,0.0,0.0,0.0,0.0
GCF_006493235.1,GCF_006493235.1,ncbi,,,,,,14,0.30611741875117554,1472729,0.0,0.0,0.0,0.0
GCF_006493515.1,GCF_006493515.1,ncbi,,,,,,15,0.30629726670171253,1438116,0.0,0.0,0.0,0.0
GCF_006493545.1,GCF_006493545.1,ncbi,,,,,,9,0.3058017064242655,1469740,0.0,0.0,0.0,0.0
GCF_006493275.1,GCF_006493275.1,ncbi,,,,,,12,0.3061637343718032,1436986,0.0,0.0,0.0,0.0
GCF_006493495.1,GCF_006493495.1,ncbi,,,,,,14,0.30622108448531515,1437161,0.0,0.0,0.0,0.0
GCF_006493185.1,GCF_006493185.1,ncbi,,,,,,10,0.3058071847282847,1469645,0.0,0.0,0.0,0.0
GCF_006493525.1,GCF_006493525.1,ncbi,,,,,,11,0.30657212886909085,1396549,1.0,0.0,1.0,1.0
GCF_006493295.1,GCF_006493295.1,ncbi,,,,,,11,0.3054538115229654,1441799,0.0,0.0,0.0,0.0
GCF_006493445.1,GCF_006493445.1,ncbi,,,,,,11,0.3060191083024369,1435711,0.0,0.0,0.0,0.0
GCF_006493625.1,GCF_006493625.1,ncbi,,,,,,91,0.30464317825815496,1630478,1.0,1.0,1.0,1.0
GCF_006493385.1,GCF_006493385.1,ncbi,,,,,,21,0.30415673047071473,1475246,1.0,0.0,1.0,1.0
GCF_006493305.1,GCF_006493305.1,ncbi,,,,,,20,0.3059489459376831,1449013,1.0,0.0,1.0,1.0
GCF_006493315.1,GCF_006493315.1,ncbi,,,,,,24,0.3061186653167195,1450921,1.0,0.0,1.0,1.0
GCF_006493565.1,GCF_006493565.1,ncbi,,,,,,24,0.3058514828021255,1460006,1.0,0.0,1.0,1.0
GCF_006493325.1,GCF_006493325.1,ncbi,,,,,,39,0.30391885673683366,1525598,3.0,2.0,3.0,3.0
GCF_006493375.1,GCF_006493375.1,ncbi,,,,,,47,0.3041319372426577,1528363,3.0,2.0,3.0,3.0
GCF_016861895.1,GCF_016861895.1,ncbi,,,,,,39,0.3671103999708843,1538687,0.0,0.0,0.0,0.0
GCF_016861915.1,GCF_016861915.1,ncbi,,,,,,37,0.36612529557426143,1504698,0.0,0.0,0.0,0.0
GCF_001435995.1,GCF_001435995.1,ncbi,,,,,,36,0.3190184836701116,1479955,2.0,0.0,2.0,2.0
GCF_002994005.1,GCF_002994005.1,ncbi,,,,,,11,0.30336068623056933,1575214,3.0,1.0,4.0,4.0
GCF_019656215.1,GCF_019656215.1,ncbi,,,,,,8,0.3684808934244942,1445942,0.0,0.0,0.0,0.0
GCF_019656255.1,GCF_019656255.1,ncbi,,,,,,34,0.3130957654223242,1433555,1.0,0.0,1.0,1.0
GCF_019061205.1,GCF_019061205.1,ncbi,,,,,,38,0.3722136548436843,1490797,0.0,0.0,0.0,0.0
GCF_006493105.1,GCF_006493105.1,ncbi,,,,,,17,0.30391573179684206,1585604,1.0,0.0,1.0,1.0
GCF_002993965.1,GCF_002993965.1,ncbi,,,,,,17,0.3052669168765972,1542971,1.0,0.0,1.0,1.0
GCF_006493435.1,GCF_006493435.1,ncbi,,,,,,19,0.3047357116524099,1497304,1.0,0.0,1.0,1.0
GCF_006493425.1,GCF_006493425.1,ncbi,,,,,,16,0.3052209180202258,1513910,1.0,0.0,1.0,1.0
GCF_006493055.1,GCF_006493055.1,ncbi,,,,,,19,0.305711748274135,1549368,1.0,0.0,1.0,1.0
GCF_006493095.1,GCF_006493095.1,ncbi,,,,,,29,0.302602441531939,1807226,1.0,0.0,1.0,1.0
GCF_006493175.1,GCF_006493175.1,ncbi,,,,,,29,0.30480439668259957,1508410,0.0,0.0,0.0,0.0
GCF_006493155.1,GCF_006493155.1,ncbi,,,,,,20,0.3045927016787428,1504757,0.0,0.0,0.0,0.0
GCF_006493125.1,GCF_006493125.1,ncbi,,,,,,25,0.30202450272511294,1610025,0.0,0.0,0.0,0.0
GCF_013385145.1,GCF_013385145.1,ncbi,,,,,,16,0.399811742283127,1712546,3.0,0.0,4.0,3.0
GCF_003522965.1,GCF_003522965.1,ncbi,,,,,,1,0.34730012312142117,1842084,1.0,0.0,1.0,1.0
GCF_003515805.1,GCF_003515805.1,ncbi,,,,,,9,0.3465451832235148,1903140,2.0,0.0,2.0,2.0
GCF_003515755.1,GCF_003515755.1,ncbi,,,,,,42,0.34510521661240395,1934723,2.0,1.0,2.0,2.0
GCF_000970795.1,GCF_000970795.1,ncbi,,,,,,11,0.3867723535533791,1815047,1.0,0.0,1.0,1.0
GCF_000967245.1,GCF_000967245.1,ncbi,,,,,,7,0.35825933848411495,1810599,1.0,0.0,1.0,1.0
GCF_013346925.1,GCF_013346925.1,ncbi,,,,,,17,0.36382653494985434,1729063,1.0,0.0,1.0,1.0
GCF_013345055.1,GCF_013345055.1,ncbi,,,,,,12,0.36490897558032076,1683724,1.0,0.0,1.0,1.0
GCF_013347085.1,GCF_013347085.1,ncbi,,,,,,16,0.36380354483570915,1743889,1.0,0.0,1.0,1.0
GCF_007991795.1,GCF_007991795.1,ncbi,,,,,,39,0.35389425797904,2327003,0.0,0.0,0.0,0.0
GCF_002849895.1,GCF_002849895.1,ncbi,,,,,,2,0.3549905638107466,2401923,0.0,0.0,0.0,0.0
GCF_001434745.1,GCF_001434745.1,ncbi,,,,,,46,0.35392978288551463,2336325,0.0,0.0,0.0,0.0
GCF_001971585.1,GCF_001971585.1,ncbi,,,,,,2,0.35366576459901394,2534178,2.0,0.0,2.0,2.0
GCF_003946005.1,GCF_003946005.1,ncbi,,,,,,17,0.3530788061555892,2520831,2.0,0.0,2.0,2.0
GCF_003946605.1,GCF_003946605.1,ncbi,,,,,,17,0.34574390343649475,2237367,0.0,0.0,0.0,0.0
GCF_002179915.1,GCF_002179915.1,ncbi,,,,,,29,0.35253630595760754,2885890,0.0,0.0,0.0,0.0
GCF_009764355.1,GCF_009764355.1,ncbi,,,,,,79,0.353686555601747,3699578,0.0,0.0,0.0,0.0
GCF_009764365.1,GCF_009764365.1,ncbi,,,,,,48,0.35182984400465944,3226122,1.0,0.0,1.0,1.0
GCF_001434855.1,GCF_001434855.1,ncbi,,,,,,42,0.3524956511031369,2882915,0.0,0.0,0.0,0.0
GCF_001951175.1,GCF_001951175.1,ncbi,,,,,,3,0.3508056839712339,2316479,1.0,0.0,1.0,1.0
GCF_001438825.1,GCF_001438825.1,ncbi,,,,,,87,0.3473698335416951,2235695,0.0,0.0,0.0,0.0
GCF_001434585.1,GCF_001434585.1,ncbi,,,,,,101,0.34998519944257994,2219511,0.0,0.0,0.0,0.0
GCF_004354695.1,GCF_004354695.1,ncbi,,,,,,30,0.363983122095772,2527565,0.0,0.0,0.0,0.0
GCF_001485255.1,GCF_001485255.1,ncbi,,,,,,58,0.35652262553775915,2364209,0.0,0.0,0.0,0.0
GCF_016586205.1,GCF_016586205.1,ncbi,,,,,,67,0.36415959422638416,2411591,0.0,0.0,0.0,0.0
GCF_002706745.1,GCF_002706745.1,ncbi,,,,,,1,0.3643642878723932,2551839,0.0,0.0,0.0,0.0
GCF_000184535.1,GCF_000184535.1,ncbi,,,,,,5,0.35974172930570236,2498309,0.0,0.0,0.0,0.0
GCF_001434775.1,GCF_001434775.1,ncbi,,,,,,76,0.3637651687227537,2480845,0.0,0.0,0.0,0.0
GCF_003573535.1,GCF_003573535.1,ncbi,,,,,,30,0.3548608336096539,2469957,0.0,0.0,0.0,0.0
GCF_005405305.1,GCF_005405305.1,ncbi,,,,,,25,0.35566336859675124,2470738,0.0,0.0,0.0,0.0
GCF_006007945.1,GCF_006007945.1,ncbi,,,,,,4,0.35764953455737364,2648769,1.0,0.0,1.0,1.0
GCF_015654125.1,GCF_015654125.1,ncbi,,,,,,8,0.3576044402105953,2726177,1.0,0.0,1.0,1.0
GCF_015566135.1,GCF_015566135.1,ncbi,,,,,,6,0.35758265375649584,2654961,1.0,0.0,1.0,1.0
GCF_001050475.1,GCF_001050475.1,ncbi,,,,,,1,0.36707100715058855,2590556,1.0,0.0,1.0,1.0
GCF_009600995.1,GCF_009600995.1,ncbi,,,,,,91,0.3582472986164213,2534442,0.0,0.0,0.0,0.0
GCF_000831645.3,GCF_000831645.3,ncbi,,,,,,1,0.37487583084039405,2790548,0.0,0.0,0.0,0.0
GCF_005405325.1,GCF_005405325.1,ncbi,,,,,,26,0.3740912334499973,2734063,0.0,0.0,0.0,0.0
GCF_005404815.1,GCF_005404815.1,ncbi,,,,,,66,0.364166681552256,3023058,1.0,1.0,1.0,1.0
GCF_003946555.1,GCF_003946555.1,ncbi,,,,,,54,0.36707532284420447,2632694,1.0,1.0,1.0,1.0
GCF_003946015.1,GCF_003946015.1,ncbi,,,,,,73,0.3494512869285159,2536116,2.0,2.0,2.0,2.0
GCF_003946575.1,GCF_003946575.1,ncbi,,,,,,41,0.3652476991987403,2707861,3.0,1.0,3.0,3.0
GCF_003946625.1,GCF_003946625.1,ncbi,,,,,,37,0.3616281797428611,2272157,0.0,0.0,0.0,0.0
GCF_003946205.1,GCF_003946205.1,ncbi,,,,,,49,0.35558304794408935,2301243,0.0,0.0,0.0,0.0
GCF_001438805.1,GCF_001438805.1,ncbi,,,,,,71,0.35475283874897917,2698724,2.0,1.0,2.0,2.0
GCF_002191155.1,GCF_002191155.1,ncbi,,,,,,37,0.3512923272201277,2754256,1.0,0.0,1.0,1.0
GCF_001435445.1,GCF_001435445.1,ncbi,,,,,,28,0.3512191179126301,2746576,1.0,0.0,1.0,1.0
GCF_001311095.1,GCF_001311095.1,ncbi,,,,,,30,0.35121338237744837,2742293,1.0,0.0,1.0,1.0
GCF_004117915.1,GCF_004117915.1,ncbi,,,,,,8,0.32784283627045946,1500957,3.0,1.0,4.0,4.0
GCF_001434275.1,GCF_001434275.1,ncbi,,,,,,103,0.38194136220040054,2336411,1.0,0.0,1.0,1.0
GCF_003946505.1,GCF_003946505.1,ncbi,,,,,,28,0.36618541127260823,2348649,1.0,0.0,1.0,1.0
GCF_003967595.1,GCF_003967595.1,ncbi,,,,,,18,0.34581549178214194,2357792,0.0,0.0,0.0,0.0
GCF_003573575.1,GCF_003573575.1,ncbi,,,,,,19,0.3450119232117392,2376457,0.0,0.0,0.0,0.0
GCF_001435815.1,GCF_001435815.1,ncbi,,,,,,95,0.36176324760370504,2914395,1.0,1.0,1.0,1.0
GCF_001592065.1,GCF_001592065.1,ncbi,,,,,,24,0.3757110578512828,2682447,1.0,0.0,1.0,1.0
GCF_001435555.1,GCF_001435555.1,ncbi,,,,,,22,0.3756634343285268,2683197,1.0,0.0,1.0,1.0
GCF_000615905.1,GCF_000615905.1,ncbi,,,,,,52,0.37560770000993077,2678542,0.0,0.0,0.0,0.0
GCF_002872255.1,GCF_002872255.1,ncbi,,,,,,64,0.341538192248666,2582291,1.0,1.0,1.0,1.0
GCF_014058425.1,GCF_014058425.1,ncbi,,,,,,2,0.3573884234903648,2497143,0.0,0.0,0.0,0.0
GCF_009295905.1,GCF_009295905.1,ncbi,,,,,,2,0.3541849999391707,2712509,0.0,0.0,0.0,0.0
GCF_007991895.1,GCF_007991895.1,ncbi,,,,,,53,0.3523797382643188,2870988,0.0,0.0,0.0,0.0
GCF_007991815.1,GCF_007991815.1,ncbi,,,,,,40,0.35121030019121713,2741386,1.0,0.0,1.0,1.0
GCF_009600905.1,GCF_009600905.1,ncbi,,,,,,17,0.3659191322773638,2352088,1.0,0.0,1.0,1.0
GCF_009600965.1,GCF_009600965.1,ncbi,,,,,,35,0.3663575549120189,2428248,1.0,1.0,1.0,1.0
GCF_009600915.1,GCF_009600915.1,ncbi,,,,,,38,0.36591985812187505,2408828,2.0,0.0,2.0,2.0
GCF_004745525.1,GCF_004745525.1,ncbi,,,,,,68,0.3686893244000041,2601643,0.0,0.0,0.0,0.0
GCF_001434665.1,GCF_001434665.1,ncbi,,,,,,51,0.3406291214187502,2173857,0.0,0.0,0.0,0.0
GCF_001434295.1,GCF_001434295.1,ncbi,,,,,,62,0.382648942105272,2373204,0.0,0.0,0.0,0.0
GCF_000260455.1,GCF_000260455.1,ncbi,,,,,,102,0.38246434291847836,2398051,0.0,0.0,0.0,0.0
GCF_016756995.1,GCF_016756995.1,ncbi,,,,,,36,0.36276679942578194,2748085,0.0,0.0,0.0,0.0
GCF_003606365.2,GCF_003606365.2,ncbi,,,,,,1,0.3628106062196567,2714973,1.0,0.0,1.0,1.0
GCF_003946515.1,GCF_003946515.1,ncbi,,,,,,77,0.3936018614196652,2644863,0.0,0.0,0.0,0.0
GCF_003096575.1,GCF_003096575.1,ncbi,,,,,,22,0.40931541505138186,1600079,2.0,0.0,2.0,2.0
GCF_007922695.1,GCF_007922695.1,ncbi,,,,,,24,0.3592807827305571,1711138,1.0,0.0,1.0,1.0
GCF_007922675.1,GCF_007922675.1,ncbi,,,,,,38,0.35960753936318496,1724708,1.0,1.0,1.0,1.0
GCF_900206325.1,GCF_900206325.1,ncbi,,,,,,24,0.3598307073159847,1635747,1.0,0.0,1.0,1.0
GCF_001434695.1,GCF_001434695.1,ncbi,,,,,,28,0.3603003918071989,1590323,1.0,1.0,1.0,1.0
GCF_000304715.1,GCF_000304715.1,ncbi,,,,,,46,0.41532458104897446,1261842,2.0,2.0,2.0,2.0
GCF_000512295.1,GCF_000512295.1,ncbi,,,,,,49,0.41481825680591655,1282634,2.0,2.0,2.0,2.0
GCF_001436645.1,GCF_001436645.1,ncbi,,,,,,50,0.411366255229474,1348606,2.0,1.0,2.0,2.0
GCF_009496955.1,GCF_009496955.1,ncbi,,,,,,1,0.39002366847714554,1388767,1.0,0.0,1.0,1.0
GCF_003368395.1,GCF_003368395.1,ncbi,,,,,,14,0.3890021461175608,1376905,1.0,0.0,1.0,1.0
GCF_000185465.1,GCF_000185465.1,ncbi,,,,,,5,0.38817731550993717,1373326,1.0,0.0,1.0,1.0
GCF_001437175.1,GCF_001437175.1,ncbi,,,,,,12,0.3876365746509259,1416533,1.0,0.0,1.0,1.0
GCF_001434095.1,GCF_001434095.1,ncbi,,,,,,16,0.3888433470687463,1372365,1.0,0.0,1.0,1.0
GCF_001436985.1,GCF_001436985.1,ncbi,,,,,,21,0.38833251638332156,1391354,1.0,0.0,1.0,1.0
GCF_001436935.1,GCF_001436935.1,ncbi,,,,,,47,0.3882079683993021,1380729,1.0,0.0,1.0,1.0
GCF_000814735.1,GCF_000814735.1,ncbi,,,,,,25,0.3916122654404529,1332231,1.0,1.0,1.0,1.0
GCF_001702115.1,GCF_001702115.1,ncbi,,,,,,1,0.34249018882641524,1389742,3.0,0.0,4.0,4.0
GCF_001702135.1,GCF_001702135.1,ncbi,,,,,,5,0.34400233539332653,1452432,3.0,0.0,4.0,4.0
GCF_002907115.1,GCF_002907115.1,ncbi,,,,,,35,0.34235241786871706,1416330,3.0,1.0,4.0,4.0
GCF_002907045.1,GCF_002907045.1,ncbi,,,,,,21,0.3421928397266886,1452263,3.0,1.0,4.0,4.0
GCF_002907075.1,GCF_002907075.1,ncbi,,,,,,29,0.3410696138835885,1423897,3.0,1.0,4.0,4.0
GCF_002907025.1,GCF_002907025.1,ncbi,,,,,,36,0.34224047166345795,1423727,3.0,1.0,4.0,4.0
GCF_002907065.1,GCF_002907065.1,ncbi,,,,,,24,0.34220025954743544,1411688,3.0,1.0,4.0,4.0
GCF_002907105.1,GCF_002907105.1,ncbi,,,,,,43,0.34217348160821215,1461250,3.0,1.0,4.0,4.0
GCF_002907375.1,GCF_002907375.1,ncbi,,,,,,22,0.3413789705396575,1440988,3.0,1.0,4.0,4.0
GCF_001438685.1,GCF_001438685.1,ncbi,,,,,,36,0.34132323868094816,1442612,2.0,1.0,3.0,3.0
GCF_900167245.1,GCF_900167245.1,ncbi,,,,,,31,0.3402270662269484,1426368,2.0,1.0,3.0,3.0
GCF_009496975.1,GCF_009496975.1,ncbi,,,,,,1,0.3515310173754053,1310991,1.0,0.0,1.0,1.0
GCF_003369815.1,GCF_003369815.1,ncbi,,,,,,71,0.34815471719549834,1267448,1.0,0.0,1.0,1.0
GCF_002907325.1,GCF_002907325.1,ncbi,,,,,,25,0.34689664695726524,1281791,2.0,1.0,2.0,2.0
GCF_002907245.1,GCF_002907245.1,ncbi,,,,,,28,0.34707856022553557,1309594,2.0,1.0,2.0,2.0
GCF_002907285.1,GCF_002907285.1,ncbi,,,,,,29,0.34812817186682143,1318230,1.0,0.0,1.0,1.0
GCF_010377135.1,GCF_010377135.1,ncbi,,,,,,18,0.3455209948422618,1264120,2.0,1.0,2.0,2.0
GCF_006334465.1,GCF_006334465.1,ncbi,,,,,,51,0.3455085528559985,1304535,1.0,1.0,1.0,1.0
GCF_002907345.1,GCF_002907345.1,ncbi,,,,,,44,0.34486919743632205,1262093,2.0,1.0,2.0,2.0
GCF_010377235.1,GCF_010377235.1,ncbi,,,,,,38,0.34461598324905235,1254138,2.0,1.0,2.0,2.0
GCF_002907145.1,GCF_002907145.1,ncbi,,,,,,25,0.3472959796598397,1272753,1.0,0.0,1.0,1.0
GCF_002907185.1,GCF_002907185.1,ncbi,,,,,,35,0.3477176225598618,1329228,1.0,0.0,1.0,1.0
GCF_002907225.1,GCF_002907225.1,ncbi,,,,,,27,0.34711582912823674,1278409,1.0,0.0,1.0,1.0
GCF_010377225.1,GCF_010377225.1,ncbi,,,,,,33,0.34579147633503476,1253076,2.0,1.0,2.0,2.0
GCF_002907205.1,GCF_002907205.1,ncbi,,,,,,44,0.3470905019085268,1293144,1.0,1.0,1.0,1.0
GCF_002907255.1,GCF_002907255.1,ncbi,,,,,,31,0.3466714652447554,1253149,1.0,1.0,1.0,1.0
GCF_010377175.1,GCF_010377175.1,ncbi,,,,,,44,0.3459069756079686,1309936,2.0,1.0,2.0,2.0
GCF_002907155.1,GCF_002907155.1,ncbi,,,,,,33,0.3467742192988058,1252720,1.0,1.0,1.0,1.0
GCF_010377125.1,GCF_010377125.1,ncbi,,,,,,44,0.34595993192004737,1307874,2.0,1.0,2.0,2.0
GCF_010377275.1,GCF_010377275.1,ncbi,,,,,,41,0.34848524563875943,1297108,1.0,1.0,1.0,1.0
GCF_006334475.1,GCF_006334475.1,ncbi,,,,,,52,0.34530397602327767,1373332,2.0,2.0,2.0,2.0
GCF_002907305.1,GCF_002907305.1,ncbi,,,,,,52,0.34624983952119237,1308584,2.0,1.0,2.0,2.0
GCF_006334425.1,GCF_006334425.1,ncbi,,,,,,62,0.34426374739900223,1365822,3.0,3.0,3.0,3.0
GCF_010377205.1,GCF_010377205.1,ncbi,,,,,,40,0.34516497171867405,1242516,2.0,1.0,2.0,2.0
GCF_010377255.1,GCF_010377255.1,ncbi,,,,,,50,0.3468833398361295,1281500,1.0,1.0,1.0,1.0
GCF_006334415.1,GCF_006334415.1,ncbi,,,,,,71,0.346790882704556,1368476,1.0,0.0,1.0,1.0
GCF_002907365.1,GCF_002907365.1,ncbi,,,,,,48,0.34763754699781324,1295539,1.0,0.0,1.0,1.0
GCF_001436035.1,GCF_001436035.1,ncbi,,,,,,68,0.346928039202633,1231754,1.0,1.0,1.0,1.0
GCF_000225325.1,GCF_000225325.1,ncbi,,,,,,3,0.34845722758891384,1375770,2.0,0.0,2.0,2.0
GCF_900112405.1,GCF_900112405.1,ncbi,,,,,,17,0.4474443118536197,1327392,3.0,0.0,3.0,3.0
GCF_001047075.2,GCF_001047075.2,ncbi,,,,,,28,0.43658734259417936,1552198,1.0,0.0,1.0,1.0
GCF_014489725.1,GCF_014489725.1,ncbi,,,,,,28,0.44680474202685644,1383206,2.0,0.0,2.0,2.0
GCF_001047095.2,GCF_001047095.2,ncbi,,,,,,57,0.44457741723730115,1489862,2.0,0.0,2.0,2.0
GCF_001438695.1,GCF_001438695.1,ncbi,,,,,,45,0.44165397745372115,1484857,2.0,0.0,2.0,2.0
GCF_000185045.1,GCF_000185045.1,ncbi,,,,,,57,0.44555660420853366,1474908,2.0,1.0,2.0,2.0
GCF_900108455.1,GCF_900108455.1,ncbi,,,,,,18,0.44453523151410196,1413564,1.0,0.0,1.0,1.0
GCF_001047115.2,GCF_001047115.2,ncbi,,,,,,15,0.4440258521234208,1413733,1.0,0.0,1.0,1.0
GCF_001038455.1,GCF_001038455.1,ncbi,,,,,,68,0.4364706485967471,1637196,2.0,2.0,2.0,2.0
GCF_018437225.1,GCF_018437225.1,ncbi,,,,,,6,0.46242005486469606,1264930,2.0,0.0,2.0,2.0
GCF_021026255.1,GCF_021026255.1,ncbi,,,,,,8,0.46247492263196865,1264088,2.0,0.0,2.0,2.0
GCF_018437235.1,GCF_018437235.1,ncbi,,,,,,9,0.48473220042013826,1296716,2.0,1.0,2.0,2.0
GCF_018437275.1,GCF_018437275.1,ncbi,,,,,,13,0.4637555668444001,1265753,2.0,0.0,2.0,2.0
GCF_018437265.1,GCF_018437265.1,ncbi,,,,,,14,0.46520405309821855,1215860,2.0,0.0,2.0,2.0
GCF_012689235.1,GCF_012689235.1,ncbi,,,,,,20,0.44589660112307156,1662049,1.0,0.0,1.0,1.0
GCF_001047135.2,GCF_001047135.2,ncbi,,,,,,101,0.4415505197564353,1686944,1.0,0.0,1.0,1.0
GCF_016860625.1,GCF_016860625.1,ncbi,,,,,,18,0.439552080384942,1752368,2.0,0.0,2.0,2.0
GCF_013394005.1,GCF_013394005.1,ncbi,,,,,,7,0.4348521123007182,2795601,3.0,0.0,3.0,3.0
GCF_013395075.1,GCF_013395075.1,ncbi,,,,,,4,0.43344749743036903,2929409,1.0,0.0,1.0,1.0
GCF_013394045.1,GCF_013394045.1,ncbi,,,,,,3,0.4363392748604033,2607691,2.0,0.0,2.0,2.0
GCF_013394025.1,GCF_013394025.1,ncbi,,,,,,3,0.4363031555200018,2606385,2.0,0.0,2.0,2.0
GCF_009295885.1,GCF_009295885.1,ncbi,,,,,,3,0.43175618274879785,3066395,1.0,0.0,1.0,1.0
GCF_009864005.1,GCF_009864005.1,ncbi,,,,,,30,0.4329905017552616,2732926,1.0,0.0,1.0,1.0
GCF_009863985.1,GCF_009863985.1,ncbi,,,,,,60,0.4343108139154232,2376586,1.0,0.0,1.0,1.0
GCF_001435135.1,GCF_001435135.1,ncbi,,,,,,61,0.43341860684258837,2865290,1.0,0.0,1.0,1.0
GCF_000428925.1,GCF_000428925.1,ncbi,,,,,,39,0.43336079382481324,2862294,1.0,0.0,1.0,1.0
