File,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max
GCF_004117915.1,8,1500957,187619.6,971882,262476,219921,707933.168,1853,971882
GCF_001434275.1,103,2336411,22683.6,52475,29872,14851,61335.079,208,146475
GCF_003946505.1,28,2348649,83880.3,245255,126691,61089,286204.134,1166,536739
GCF_003967595.1,18,2357792,130988.4,231598,156047,66259,364714.605,573,707204
GCF_003573575.1,19,2376457,125076.7,232062,171063,156037,349288.735,237,590945
GCF_001435815.1,95,2914395,30677.8,78661,44378,20098,87471.537,204,221174
GCF_001592065.1,24,2682447,111768.6,314092,242614,92198,349721.148,522,621643
GCF_001435555.1,22,2683197,121963.5,321838,242725,92310,357256.817,266,621803
GCF_000615905.1,52,2678542,51510.4,144408,47456,23454,136938.121,1247,304329
GCF_002872255.1,64,2582291,40348.3,102702,58664,32312,106825.819,555,220801
GCF_014058425.1,2,2497143,1248571.5,2435232,2435232,2435232,2376390.886,61911,2435232
GCF_009295905.1,2,2712509,1356254.5,2660829,2660829,2660829,2611118.263,51680,2660829
GCF_007991895.1,53,2870988,54169.6,148181,71605,42206,225362.170,503,620891
GCF_007991815.1,40,2741386,68534.6,136034,66228,39677,164269.321,511,389615
GCF_009600905.1,17,2352088,138358.1,388963,162823,76460,388422.887,1662,640436
GCF_009600965.1,35,2428248,69378.5,192844,127105,55728,308972.183,1139,705211
GCF_009600915.1,38,2408828,63390.2,120427,93253,43329,180556.894,1110,384386
GCF_004745525.1,68,2601643,38259.5,78760,41409,23097,79120.484,501,166931
GCF_001434665.1,51,2173857,42624.6,86321,50934,38537,98774.444,205,227884
GCF_001434295.1,62,2373204,38277.5,106879,44138,25763,110455.163,337,254572
GCF_000260455.1,102,2398051,23510.3,87929,44109,20716,91212.925,120,254534
GCF_016756995.1,36,2748085,76335.7,800126,361399,64586,617663.031,206,928291
GCF_003606365.2,1,2714973,2714973.0,2714973,2714973,2714973,2714973.000,2714973,2714973
GCF_003946515.1,77,2644863,34348.9,81392,33189,19078,91664.456,1078,225000
GCF_003096575.1,22,1600079,72730.9,142511,90917,59059,224040.070,1524,447759
GCF_007922695.1,24,1711138,71297.4,230809,87130,41589,220126.589,1140,409384
GCF_007922675.1,38,1724708,45387.1,148579,69864,29047,156510.300,1067,355044
GCF_900206325.1,24,1635747,68156.1,120657,91151,53182,141978.435,553,240078
GCF_001434695.1,28,1590323,56797.2,150125,82314,45122,187312.412,471,333197
GCF_000304715.1,46,1261842,27431.3,59916,35840,16852,57202.597,573,94867
GCF_000512295.1,49,1282634,26176.2,54269,33908,16555,60312.115,573,98677
GCF_001436645.1,50,1348606,26972.1,119550,104842,50533,131120.070,206,208672
GCF_009496955.1,1,1388767,1388767.0,1388767,1388767,1388767,1388767.000,1388767,1388767
GCF_003368395.1,14,1376905,98350.4,373017,194113,191983,300913.917,267,391842
GCF_000185465.1,5,1373326,274665.2,391210,217261,194101,405811.733,5637,565117
GCF_001437175.1,12,1416533,118044.4,368497,193871,191316,313078.727,246,432173
GCF_001434095.1,16,1372365,85772.8,297133,193603,191118,267507.094,204,391764
GCF_001436985.1,21,1391354,66255.0,216430,128351,114743,181828.780,205,249424
GCF_001436935.1,47,1380729,29377.2,90994,53859,19280,89633.084,206,142989
GCF_000814735.1,25,1332231,53289.2,190786,111628,85694,200944.078,225,357928
GCF_001702115.1,1,1389742,1389742.0,1389742,1389742,1389742,1389742.000,1389742,1389742
GCF_001702135.1,5,1452432,290486.4,1416623,1416623,1416623,1381970.275,3920,1416623
GCF_002907115.1,35,1416330,40466.6,386325,99770,50149,287573.541,1005,462762
GCF_002907045.1,21,1452263,69155.4,385794,94046,50149,321314.186,1566,526609
GCF_002907075.1,29,1423897,49099.9,296719,89868,44406,291499.565,1020,532178
GCF_002907025.1,36,1423727,39548.0,272380,77828,50149,311546.265,1010,574482
GCF_002907065.1,24,1411688,58820.3,264623,77828,50149,303806.325,1026,562828
GCF_002907105.1,43,1461250,33982.6,154017,89472,32392,194347.583,1010,354829
GCF_002907375.1,22,1440988,65499.5,385911,94044,50149,323829.903,1001,526609
GCF_001438685.1,36,1442612,40072.6,348952,72240,36607,263514.815,218,471284
GCF_900167245.1,31,1426368,46011.9,349079,80447,38467,271165.338,1101,471699
GCF_009496975.1,1,1310991,1310991.0,1310991,1310991,1310991,1310991.000,1310991,1310991
GCF_003369815.1,71,1267448,17851.4,72214,31863,23030,94286.069,203,221776
GCF_002907325.1,25,1281791,51271.6,139951,69636,48200,119290.390,1081,227394
GCF_002907245.1,28,1309594,46771.2,130698,89587,48114,129371.588,1028,237921
GCF_002907285.1,29,1318230,45456.2,129857,79709,34699,138349.090,1023,250822
GCF_010377135.1,18,1264120,70228.9,127702,122268,59839,161559.304,1667,313609
GCF_006334465.1,51,1304535,25579.1,109404,29407,14975,84403.063,311,154454
GCF_002907345.1,44,1262093,28683.9,97901,26006,15519,111441.842,1038,222257
GCF_010377235.1,38,1254138,33003.6,95438,25866,16580,131725.969,1268,314699
GCF_002907145.1,25,1272753,50910.1,89448,57906,44557,112746.529,1014,233128
GCF_002907185.1,35,1329228,37977.9,89448,56432,30517,105206.095,1014,233002
GCF_002907225.1,27,1278409,47348.5,89448,58732,41211,113397.936,1014,233128
GCF_010377225.1,33,1253076,37972.0,86876,50469,21098,98166.453,1125,224848
GCF_002907205.1,44,1293144,29389.6,78180,48138,15753,85487.436,1227,160016
GCF_002907255.1,31,1253149,40424.2,78126,58461,23640,90077.759,1224,160189
GCF_010377175.1,44,1309936,29771.3,72555,24841,16738,92853.560,1268,221423
GCF_002907155.1,33,1252720,37961.2,70267,53496,24976,88113.141,1096,160189
GCF_010377125.1,44,1307874,29724.4,67826,23883,16737,92023.470,1268,221491
GCF_010377275.1,41,1297108,31636.8,67436,33580,18414,68064.991,1180,145392
GCF_006334475.1,52,1373332,26410.2,64534,29108,13402,79453.060,356,169413
GCF_002907305.1,52,1308584,25165.1,63776,23718,11455,123512.629,1026,317933
GCF_006334425.1,62,1365822,22029.4,62639,22837,11138,68355.990,332,146816
GCF_010377205.1,40,1242516,31062.9,58164,29083,18438,91899.917,1328,225109
GCF_010377255.1,50,1281500,25630.0,57965,24927,10659,66594.369,1242,147375
GCF_006334415.1,71,1368476,19274.3,55349,27041,10367,66968.105,305,156885
GCF_002907365.1,48,1295539,26990.4,87585,58396,24556,110819.891,1013,223057
GCF_001436035.1,68,1231754,18114.0,52620,23920,9064,68757.957,301,155886
GCF_000225325.1,3,1375770,458590.0,1298316,1298316,1298316,1227985.025,18715,1298316
GCF_900112405.1,17,1327392,78081.9,175703,104741,72928,300087.620,1758,561365
GCF_001047075.2,28,1552198,55435.6,226528,134241,28822,350555.781,218,640546
GCF_014489725.1,28,1383206,49400.2,155038,98318,46526,172832.522,241,304195
GCF_001047095.2,57,1489862,26137.9,89458,65031,20780,103731.866,200,216263
GCF_001438695.1,45,1484857,32996.8,102024,68389,41718,106890.410,236,216029
GCF_000185045.1,57,1474908,25875.6,67613,45700,20527,69515.226,127,126292
GCF_900108455.1,18,1413564,78531.3,284129,102463,69274,246852.615,1396,445896
GCF_001047115.2,15,1413733,94248.9,283981,165506,102009,272676.722,465,463550
GCF_001038455.1,68,1637196,24076.4,56920,28981,16981,59914.855,527,149415
GCF_018437225.1,6,1264930,210821.7,753209,318648,98309,542619.567,1672,753209
GCF_021026255.1,8,1264088,158011.0,318564,223446,98225,354795.857,1753,528779
GCF_018437235.1,9,1296716,144079.6,731438,354036,102105,522879.469,1379,731438
GCF_018437275.1,13,1265753,97365.6,185189,118221,70716,185647.797,1431,301961
GCF_018437265.1,14,1215860,86847.1,137716,98528,84662,133271.002,1408,209013
GCF_012689235.1,20,1662049,83102.4,1007334,273649,263959,699580.388,532,1007334
GCF_001047135.2,101,1686944,16702.4,226443,91225,23997,190462.837,200,368481
GCF_016860625.1,18,1752368,97353.8,280510,274207,197110,326747.885,208,436468
GCF_013394005.1,7,2795601,399371.6,2762250,2762250,2762250,2729390.525,1925,2762250
GCF_013395075.1,4,2929409,732352.2,2804324,2804324,2804324,2687763.987,14827,2804324
GCF_013394045.1,3,2607691,869230.3,2573459,2573459,2573459,2539955.372,8701,2573459
GCF_013394025.1,3,2606385,868795.0,2572163,2572163,2572163,2538669.421,8690,2572163
GCF_009295885.1,3,3066395,1022131.7,2837676,2837676,2837676,2634781.891,95376,2837676
GCF_009864005.1,30,2732926,91097.5,199371,127325,98283,261189.132,739,553647
GCF_009863985.1,60,2376586,39609.8,137268,61457,32404,188192.847,526,507150
GCF_001435135.1,61,2865290,46972.0,150850,58701,27361,188289.745,213,525255
GCF_000428925.1,39,2862294,73392.2,128953,64854,31598,195827.818,1156,528281
GCF_001437435.1,52,2070447,39816.3,155219,56085,31256,157883.086,213,294649
GCF_001436605.1,20,1289346,64467.3,213391,122550,106506,252016.823,273,447035
GCF_001311465.1,27,1363353,50494.6,147422,72141,40287,126104.590,511,212855
GCF_013407595.1,11,2843141,258467.4,1080439,1080439,110624,923999.599,1789,1167741
GCF_020180945.1,11,2794094,254008.5,1544577,380958,225819,1000193.020,1017,1544577
GCF_001436115.1,12,1929842,160820.2,407548,275902,151247,510512.052,822,824330
GCF_001436615.1,104,2562179,24636.3,70187,39021,15151,71175.323,215,152483
GCF_018363095.1,1,3138294,3138294.0,3138294,3138294,3138294,3138294.000,3138294,3138294
GCF_002192215.1,1,3132867,3132867.0,3132867,3132867,3132867,3132867.000,3132867,3132867
GCF_015476095.1,1,2940907,2940907.0,2940907,2940907,2940907,2940907.000,2940907,2940907
GCF_019107585.1,1,2999953,2999953.0,2999953,2999953,2999953,2999953.000,2999953,2999953
GCF_001013375.1,26,3001027,115424.1,737422,213472,168008,490110.066,210,784830
GCF_008868595.1,21,3084211,146867.2,471391,296218,170276,405225.833,360,636928
GCF_011754305.1,25,2848043,113921.7,179584,142295,112015,238689.902,1191,414582
GCF_002091995.1,77,2977711,38671.6,105124,49319,28343,132115.330,207,322041
GCF_002091975.1,96,3159370,32910.1,93220,39892,19657,133730.313,217,436660
GCF_007989685.1,123,3034666,24672.1,67872,33513,13843,128332.154,508,480713
GCF_005864085.1,147,2946858,20046.7,59012,25951,11179,64715.018,252,141905
GCF_000309565.2,1,2907892,2907892.0,2907892,2907892,2907892,2907892.000,2907892,2907892
GCF_000510825.1,162,3186676,19670.8,53770,21155,7944,79443.883,1063,228744
GCF_000829055.1,3,2952961,984320.3,2924929,2924929,2924929,2897405.223,1326,2924929
GCF_018363075.1,1,2855405,2855405.0,2855405,2855405,2855405,2855405.000,2855405,2855405
GCF_004123795.1,115,2872085,24974.7,74607,50918,24282,97893.091,299,247623
GCF_003946115.1,30,2738087,91269.6,218215,153799,52493,298855.676,1117,532199
GCF_000565485.1,94,3580413,38089.5,56089,34109,18587,74705.810,1592,198569
GCF_003946465.1,69,2501322,36251.0,60983,36228,23836,65381.915,1178,151856
GCF_004010095.1,61,2355647,38617.2,55988,40473,25711,70166.915,1085,186745
GCF_003946485.1,51,2468902,48409.8,88129,44211,32268,103536.762,1115,243998
GCF_009184845.1,2,3458698,1729349.0,3395916,3395916,3395916,3335413.227,62782,3395916
GCF_016861765.1,46,2790662,60666.6,117144,57820,39698,144678.797,635,278695
GCF_016861785.1,56,2756195,49217.8,141965,73658,38485,150278.290,395,366975
GCF_016861715.1,61,2775105,45493.5,123030,62935,33347,141417.797,566,396619
GCF_001434705.1,35,2280237,65149.6,272176,247363,121025,271584.655,206,396212
GCF_001311175.1,81,2530740,31243.7,58613,30146,16309,73248.749,686,218344
GCF_001435155.1,62,2541966,40999.5,147998,64806,22414,181098.292,204,436351
GCF_000019245.4,2,2898456,1449228.0,2861969,2861969,2861969,2826400.628,36487,2861969
GCF_009931715.1,3,3240202,1080067.3,3123521,3123521,3123521,3013168.033,51921,3123521
GCF_000418515.1,2,3143369,1571684.5,3113601,3113601,3113601,3084396.812,29768,3113601
GCF_012955485.1,3,3219033,1073011.0,3102350,3102350,3102350,2992036.864,51922,3102350
GCF_003966835.1,3,3181204,1060401.3,3084917,3084917,3084917,2993006.748,45267,3084917
GCF_007637635.1,1,3083412,3083412.0,3083412,3083412,3083412,3083412.000,3083412,3083412
GCF_017638905.1,4,3141511,785377.8,3082023,3082023,3082023,3024196.267,9608,3082023
GCF_004141835.1,3,3187447,1062482.3,3081420,3081420,3081420,2980817.309,38400,3081420
GCF_000026485.1,1,3079196,3079196.0,3079196,3079196,3079196,3079196.000,3079196,3079196
GCF_008807095.1,2,3144483,1572241.5,3077701,3077701,3077701,3013755.610,66782,3077701
GCF_001244395.1,1,3076437,3076437.0,3076437,3076437,3076437,3076437.000,3076437,3076437
GCF_902386635.1,1,3076437,3076437.0,3076437,3076437,3076437,3076437.000,3076437,3076437
GCF_000318035.1,2,3132096,1566048.0,3075780,3075780,3075780,3021489.156,56316,3075780
GCF_000194765.1,2,3127288,1563644.0,3069926,3069926,3069926,3014668.315,57362,3069926
GCF_002079285.1,4,3246143,811535.8,3055892,3055892,3055892,2880706.857,45033,3055892
GCF_003199005.1,1,3052122,3052122.0,3052122,3052122,3052122,3052122.000,3052122,3052122
GCF_003268715.1,3,3143531,1047843.7,3044973,3044973,3044973,2951117.316,38999,3044973
GCF_002865565.1,1,3039280,3039280.0,3039280,3039280,3039280,3039280.000,3039280,3039280
GCF_000194785.1,2,3077434,1538717.0,3039042,3039042,3039042,3001607.906,38392,3039042
GCF_002902825.1,1,3038767,3038767.0,3038767,3038767,3038767,3038767.000,3038767,3038767
GCF_007292115.1,2,3102530,1551265.0,3035735,3035735,3035735,2971816.086,66795,3035735
GCF_015377585.1,4,3080275,770068.8,3020185,3020185,3020185,2961900.033,6173,3020185
GCF_003627255.1,3,3048677,1016225.7,3015887,3015887,3015887,2983632.366,13282,3015887
GCF_008329845.1,2,3044908,1522454.0,3012260,3012260,3012260,2980312.114,32648,3012260
GCF_013307125.1,3,3092262,1030754.0,2991176,2991176,2991176,2895054.682,47041,2991176
GCF_014905075.1,4,3196149,799037.2,2983945,2983945,2983945,2790534.132,67740,2983945
GCF_002257625.1,1,2942538,2942538.0,2942538,2942538,2942538,2942538.000,2942538,2942538
GCF_003177075.1,4,3074406,768601.5,2927257,2927257,2927257,2790264.786,12035,2927257
GCF_001514415.1,1,2918888,2918888.0,2918888,2918888,2918888,2918888.000,2918888,2918888
GCF_001191565.1,5,2973347,594669.4,2770411,2770411,2770411,2585087.343,31497,2770411
GCF_002442835.1,6,2969707,494951.2,2710941,2710941,2710941,2479870.660,28557,2710941
GCF_009834405.1,7,2867519,409645.6,2667255,2667255,2667255,2484132.706,8093,2667255
GCF_014905015.1,5,2958273,591654.6,2791277,2791277,2791277,2636312.231,18602,2791277
GCF_018064185.1,1,2831954,2831954.0,2831954,2831954,2831954,2831954.000,2831954,2831954
GCF_000388095.2,2,3102374,1551187.0,3042753,3042753,3042753,2985423.576,59621,3042753
GCF_002762235.1,2,3160833,1580416.5,3112081,3112081,3112081,3064832.880,48752,3112081
GCF_004078565.1,5,3291871,658374.2,3067433,3067433,3067433,2862198.136,51016,3067433
GCF_003795255.1,3,3016870,1005623.3,2980779,2980779,2980779,2945336.618,16830,2980779
GCF_004078555.1,3,2856075,952025.0,2837410,2837410,2837410,2818938.579,5440,2837410
GCF_003712905.1,3,3088310,1029436.7,2439857,2439857,637470,2059181.497,10983,2439857
GCF_003712295.1,8,2962283,370285.4,1656744,286488,248920,1089423.238,531,1656744
GCF_003712355.1,7,2759882,394268.9,886049,635040,635040,885141.660,9457,1117969
GCF_003712345.1,21,2922112,139148.2,875672,463893,56391,691440.916,920,994219
GCF_003712225.1,12,3098435,258202.9,652440,640278,241848,634217.405,1681,734675
GCF_003712485.1,17,2981260,175368.2,790899,271496,120174,586746.128,1726,863545
GCF_003712755.1,54,3133908,58035.3,331758,103707,43199,343537.268,526,692651
GCF_005864195.1,54,3133908,58035.3,331758,103707,43199,343537.268,526,692651
GCF_002148875.1,41,2936872,71631.0,300051,151300,73682,315856.511,2034,536232
GCF_905131355.1,91,3000029,32967.4,268793,126520,43240,251955.611,302,418753
GCF_002027415.1,66,2772578,42008.8,217580,68697,17295,179340.885,2031,373745
GCF_003712665.1,50,2981414,59628.3,211315,81189,41330,201275.256,526,353039
GCF_003712795.1,57,3070487,53868.2,211118,57402,28291,207449.748,577,395828
GCF_002148885.1,35,3078575,87959.3,191696,83090,54997,205753.485,1367,426277
GCF_008868525.1,95,2956025,31116.1,186306,61302,39801,167564.465,212,284575
GCF_012241605.1,39,3002945,76998.6,2924905,2924905,2924905,2849249.340,202,2924905
GCF_002849575.1,150,3048314,20322.1,153320,64509,27367,166293.437,214,434880
GCF_002914885.1,47,2868101,61023.4,150747,99678,42073,219459.814,428,583231
GCF_002148805.1,49,3095268,63168.7,142300,89124,40229,157975.808,692,322047
GCF_003712245.1,80,3145663,39320.8,136329,62846,17685,170256.142,502,407373
GCF_003712825.1,78,3073151,39399.4,134390,53354,31036,222724.531,541,552135
GCF_003713005.1,62,3062124,49389.1,130795,75185,33686,137482.908,566,277794
GCF_000474615.1,91,3019931,33186.1,128991,68109,26303,161846.425,208,411480
GCF_003712985.1,72,3105363,43130.0,128855,47797,18618,210684.655,739,521119
GCF_002406665.1,73,3015046,41302.0,128510,55718,24840,134601.631,613,323428
GCF_018257175.1,55,3018739,54886.2,128475,80592,46130,147791.579,624,314483
GCF_003640765.1,11,3038799,276254.5,2520091,2520091,240365,2126627.476,211,2520091
GCF_000309685.1,55,3000054,54546.4,125552,54233,31170,121743.220,1018,265327
GCF_015560865.1,86,3047908,35440.8,124802,55240,25104,152704.057,1034,434654
GCF_015551195.1,54,3071771,56884.6,122316,73924,39084,199935.213,1117,535366
